Rank,Title,RatingTomatometer,No_of_Reviews,Genres
37,Who Framed Roger Rabbit,97,63,animation
38,Anomalisa,92,255,animation
39,The Lion King,93,123,animation
40,Your Name.,97,110,animation
41,Waltz with Bashir,96,148,animation
42,Persepolis,96,159,animation
43,Wallace & Gromit: The Curse of the Were-Rabbit,95,181,animation
44,The Secret World of Arrietty,95,146,animation
45,Ernest & Célestine,97,77,animation
46,The Red Turtle,93,157,animation
47,Long Way North,98,52,animation
48,Aladdin,94,69,animation
49,Fantastic Mr. Fox,92,231,animation
50,Frozen,90,233,animation
51,The Breadwinner,95,95,animation
52,Ghost in the Shell,96,50,animation
53,Coraline,90,261,animation
54,Lady and the Tramp,93,40,animation
55,Antz,93,91,animation
56,The Triplets of Belleville,94,147,animation
57,How to Train Your Dragon 2,91,176,animation
58,Bambi,90,48,animation
59,My Neighbor Totoro,94,49,animation
60,Big Hero 6,89,212,animation
61,The Little Mermaid,92,65,animation
62,A Bug's Life,92,85,animation
63,Princess Mononoke,92,106,animation
64,Arthur Christmas,92,163,animation
65,Mary and Max,95,64,animation
66,James and the Giant Peach,92,73,animation
67,Teen Titans Go! To the Movies,91,116,animation
68,Ponyo,91,164,animation
69,Shrek 2,89,235,animation
70,Bolt,89,181,animation
71,Tangled,89,219,animation
72,The Simpsons Movie,88,220,animation
73,Shrek,88,202,animation
74,Frankenweenie,87,213,animation
75,The Wind Rises,88,170,animation
76,Boy and the World,93,56,animation
77,Winnie the Pooh,91,127,animation
78,Rango,88,216,animation
79,The Illusionist,91,128,animation
80,ParaNorman,88,177,animation
81,The Peanuts Movie,87,187,animation
82,Kung Fu Panda,87,182,animation
83,Wreck-it Ralph,87,180,animation
84,Millennium Actress,92,52,animation
85,When Marnie Was There,90,93,animation
86,The Secret of Kells,91,81,animation
87,Howl's Moving Castle,87,177,animation
88,Tarzan,88,104,animation
89,Kung Fu Panda 3,86,167,animation
90,The Boy And The Beast,90,67,animation
91,Captain Underpants: The First Epic Movie,87,125,animation
92,Sausage Party,83,219,animation
93,Tokyo Godfathers,90,67,animation
94,Mary and The Witch's Flower,88,80,animation
95,My Dog Tulip,90,59,animation
96,The Pirates! Band of Misfits,86,149,animation
97,The Princess and the Frog,85,191,animation
98,Loving Vincent,85,141,animation
99,Akira,87,47,animation
100,Tim Burton's Corpse Bride,84,188,animation
1,The Cabinet of Dr. Caligari,100,50,art_house|international
2,Metropolis,99,118,art_house|international
3,La Grande illusion,97,66,art_house|international
4,"Nosferatu, a Symphony of Horror",97,62,art_house|international
5,The Battle of Algiers,98,85,art_house|international
6,M,100,51,art_house|international
7,Seven Samurai,100,58,art_house|international
8,The 400 Blows,100,55,art_house|international
9,Army of Shadows,97,72,art_house|international
10,Rashômon,98,52,art_house|international
11,The Wages of Fear,100,43,art_house|international
12,Open City,100,42,art_house|international
13,Tokyo Story,100,41,art_house|international
14,The Leopard,100,46,art_house|international
15,Battleship Potemkin,100,45,art_house|international
16,The Conformist,98,53,art_house|international
17,Au Hasard Balthazar,100,40,art_house|international
18,Things to Come,100,135,art_house|international
19,La Dolce Vita,97,58,art_house|international
20,Let the Right One In,98,183,art_house|international
21,Playtime,100,44,art_house|international
22,The Discreet Charm Of The Bourgeoisie,98,50,art_house|international
23,The Rules of the Game,98,45,art_house|international
24,Faces Places,99,129,art_house|international
25,The Passion of Joan of Arc,98,45,art_house|international
26,Only Yesterday,100,53,art_house|international
27,Tampopo,100,51,art_house|international
28,The Salesman,96,187,art_house|international
29,Throne of Blood,98,42,art_house|international
30,A Separation,99,169,art_house|international
31,"Aguirre, the Wrath of God",98,46,art_house|international
32,Eyes Without a Face,98,54,art_house|international
33,Gloria,99,126,art_house|international
34,8 1/2,98,47,art_house|international
35,Pather Panchali,98,42,art_house|international
36,The Umbrellas of Cherbourg,98,55,art_house|international
37,A Fantastic Woman,94,200,art_house|international
38,Three Colors: Red,100,52,art_house|international
39,My Life as a Zucchini,98,127,art_house|international
40,Le Cercle Rouge,95,59,art_house|international
41,The Tale of the Princess Kaguya,100,86,art_house|international
42,Amy,95,209,art_house|international
43,BPM,98,119,art_house|international
44,Sing Street,95,199,art_house|international
45,Ran,96,80,art_house|international
46,A Fistful of Dollars,98,47,art_house|international
47,GETT: The Trial of Viviane Amsalem,100,75,art_house|international
48,Solaris,96,56,art_house|international
49,Wings of Desire,98,51,art_house|international
50,The Young Girls of Rochefort,98,40,art_house|international
51,Gojira,93,70,art_house|international
52,"Crouching Tiger, Hidden Dragon",97,153,art_house|international
53,Timbuktu,98,116,art_house|international
54,Jiro Dreams of Sushi,99,92,art_house|international
55,Diva,98,48,art_house|international
56,Aruitemo Aruitemo,100,63,art_house|international
57,The Taste of Others,100,58,art_house|international
58,All About My Mother,98,85,art_house|international
59,Toni Erdmann,93,219,art_house|international
60,Waste Land,100,70,art_house|international
61,The Band's Visit,98,116,art_house|international
62,Poetry,100,65,art_house|international
63,The Vanishing,98,46,art_house|international
64,Loveless,94,162,art_house|international
65,Elevator to the Gallows,93,55,art_house|international
