Rank,Title,RatingTomatometer,No_of_Reviews,Genres
28,The Innocents,96,48,horror
29,The Cabin in the Woods,91,272,horror
30,A Girl Walks Home Alone at Night,96,122,horror
31,Drag Me to Hell,92,261,horror
32,It,85,339,horror
33,Invasion of the Body Snatchers,94,54,horror
34,The Evil Dead,95,59,horror
35,The Endless,95,111,horror
36,Carrie,93,60,horror
37,Re-Animator,95,58,horror
38,Young Frankenstein,93,57,horror
39,The Loved Ones,98,55,horror
40,Nosferatu: Phantom der Nacht,94,54,horror
41,The Love Witch,95,107,horror
42,Room 237,94,128,horror
43,Suspiria,93,54,horror
44,Train to Busan,95,97,horror
45,A Nightmare on Elm Street,94,50,horror
46,Shaun of the Dead,92,205,horror
47,The Host,93,151,horror
48,Dracula,91,46,horror
49,The Fly,92,59,horror
50,Zombieland,90,244,horror
51,What Ever Happened to Baby Jane?,92,50,horror
52,CAM,94,79,horror
53,Eraserhead,91,56,horror
54,It Comes At Night,87,226,horror
55,Dawn of the Dead,93,40,horror
56,Don't Breathe,88,217,horror
57,Phantom Of The Opera,91,46,horror
58,We Are Still Here,95,43,horror
59,The Wicker Man,90,49,horror
60,Little Shop of Horrors,90,51,horror
61,The Texas Chainsaw Massacre,88,59,horror
62,Let Me In,88,227,horror
63,Frankenweenie,87,213,horror
64,Upgrade,87,166,horror
65,Halloween,79,323,horror
66,The Blair Witch Project,87,156,horror
67,The Exorcist,86,74,horror
68,The Conjuring,86,213,horror
69,The Dead Zone,90,42,horror
70,Bone Tomahawk,91,85,horror
71,Misery,89,65,horror
72,The Shining,86,73,horror
73,Cronos,90,51,horror
74,The Orphanage,87,177,horror
75,28 Days Later,86,225,horror
76,Gerald's Game,90,69,horror
77,The Devil's Candy,91,47,horror
78,An American Werewolf in London,88,51,horror
79,Near Dark,88,48,horror
80,Poltergeist,86,59,horror
81,Henry: Portrait of a Serial Killer,86,59,horror
82,This Is the End,83,221,horror
83,Chronicle,85,175,horror
84,The Descent,85,173,horror
85,The Omen,86,43,horror
86,Donnie Darko: The Director's Cut,90,42,horror
87,Save the Green Planet,90,40,horror
88,Slither,86,138,horror
89,Ginger Snaps,89,57,horror
90,The Autopsy of Jane Doe,87,98,horror
91,A Field in England,88,68,horror
92,Backcountry,89,46,horror
93,Goodnight Mommy,85,140,horror
94,Altered States,86,43,horror
95,The Thing,84,61,horror
96,Better Watch Out,88,58,horror
97,They Live,85,60,horror
98,The House of the Devil,87,97,horror
99,The Conjuring 2,80,240,horror
100,The Others,84,160,horror
1,The Wizard of Oz,98,111,kids|family
2,Inside Out,98,347,kids|family
3,E.T. The Extra-Terrestrial,98,125,kids|family
4,Coco,97,308,kids|family
5,Paddington 2,100,216,kids|family
6,Incredibles 2,94,332,kids|family
7,Snow White and the Seven Dwarfs,98,47,kids|family
8,Toy Story 2,100,163,kids|family
9,Up,98,290,kids|family
10,The Jungle Book,95,307,kids|family
11,Toy Story 3,98,299,kids|family
12,Finding Nemo,99,262,kids|family
13,Pinocchio,100,47,kids|family
14,Harry Potter and the Deathly Hallows - Part 2,96,320,kids|family
15,Toy Story,100,81,kids|family
16,The LEGO Movie,96,240,kids|family
17,Moana,95,261,kids|family
18,Mary Poppins,100,48,kids|family
19,Miracle on 34th Street,96,47,kids|family
20,It's a Wonderful Life,93,74,kids|family
21,Ratatouille,96,246,kids|family
22,How to Train Your Dragon,98,205,kids|family
23,The Incredibles,97,239,kids|family
24,Yellow Submarine,97,59,kids|family
25,Paddington,98,151,kids|family
26,Beauty and the Beast,94,113,kids|family
27,Chicken Run,97,170,kids|family
28,The Princess Bride,97,71,kids|family
29,My Life as a Zucchini,98,127,kids|family
30,101 Dalmatians,98,46,kids|family
31,The Nightmare Before Christmas,95,94,kids|family
32,Big,97,74,kids|family
33,Fantasia,96,50,kids|family
34,"Monsters, Inc.",96,193,kids|family
35,The Lego Batman Movie,90,289,kids|family
36,The Iron Giant,96,136,kids|family
37,Spirited Away,97,183,kids|family
38,Song Of The Sea,99,88,kids|family
39,Who Framed Roger Rabbit,97,63,kids|family
40,Babe,97,70,kids|family
41,The Lion King,93,123,kids|family
42,The Muppets,95,220,kids|family
43,About Elly,99,69,kids|family
44,Wallace & Gromit: The Curse of the Were-Rabbit,95,181,kids|family
45,My Fair Lady,96,48,kids|family
46,The Straight Story,96,91,kids|family
47,Hugo,93,219,kids|family
48,Aladdin,94,69,kids|family
49,Fantastic Mr. Fox,92,231,kids|family
50,Enchanted,93,189,kids|family
51,Frozen,90,233,kids|family
52,The Breadwinner,95,95,kids|family
53,Coraline,90,261,kids|family
54,Lady and the Tramp,93,40,kids|family
55,Antz,93,91,kids|family
56,Jason and the Argonauts,93,42,kids|family
57,How to Train Your Dragon 2,91,176,kids|family
58,Bambi,90,48,kids|family
59,The Secret of Roan Inish,95,44,kids|family
60,My Neighbor Totoro,94,49,kids|family
61,Big Hero 6,89,212,kids|family
62,Harry Potter and the Prisoner of Azkaban,90,255,kids|family
63,The Little Mermaid,92,65,kids|family
64,Spy Kids,93,127,kids|family
65,How Green Was My Valley,90,41,kids|family
66,L'Heure d'été,94,105,kids|family
67,Pete's Dragon,88,226,kids|family
68,A Bug's Life,92,85,kids|family
69,Princess Mononoke,92,106,kids|family
70,A Monster Calls,86,247,kids|family
71,Arthur Christmas,92,163,kids|family
72,Harry Potter and the Goblet of Fire,88,249,kids|family
73,James and the Giant Peach,92,73,kids|family
74,That Thing You Do!,93,57,kids|family
75,Teen Titans Go! To the Movies,91,116,kids|family
76,Willy Wonka and the Chocolate Factory,91,46,kids|family
77,Ponyo,91,164,kids|family
78,Shrek 2,89,235,kids|family
79,Tangled,89,219,kids|family
80,First Position,93,73,kids|family
81,Shrek,88,202,kids|family
82,Lassie,93,68,kids|family
83,Duma,93,61,kids|family
84,Winnie the Pooh,91,127,kids|family
85,Rango,88,216,kids|family
86,A Christmas Story,89,56,kids|family
87,ParaNorman,88,177,kids|family
88,The Peanuts Movie,87,187,kids|family
89,The Sound of Music,85,61,kids|family
90,Kung Fu Panda,87,182,kids|family
91,Wreck-it Ralph,87,180,kids|family
92,Millions,88,160,kids|family
93,The Secret of Kells,91,81,kids|family
94,Howl's Moving Castle,87,177,kids|family
95,Cinderella,84,228,kids|family
96,Disneynature Bears,91,56,kids|family
97,The Muppet Movie,88,48,kids|family
98,Harry Potter and the Half-Blood Prince,83,272,kids|family
99,The Karate Kid,88,43,kids|family
100,Freaky Friday,87,151,kids|family
1,The Wizard of Oz,98,111,musical|performing_arts
2,Singin' in the Rain,100,50,musical|performing_arts
3,A Hard Day's Night,98,106,musical|performing_arts
4,La La Land,91,414,musical|performing_arts
5,Pinocchio,100,47,musical|performing_arts
6,An American in Paris,95,62,musical|performing_arts
7,The Red Shoes,96,55,musical|performing_arts
8,Mary Poppins,100,48,musical|performing_arts
9,Gentlemen Prefer Blondes,98,40,musical|performing_arts
10,Yellow Submarine,97,59,musical|performing_arts
11,The Umbrellas of Cherbourg,98,55,musical|performing_arts
12,Beauty and the Beast,94,113,musical|performing_arts
13,20 Feet From Stardom,99,118,musical|performing_arts
14,The Last Waltz,98,47,musical|performing_arts
15,Amy,95,209,musical|performing_arts
16,Some Like It Hot,96,54,musical|performing_arts
17,Fantasia,96,50,musical|performing_arts
18,Sing Street,95,199,musical|performing_arts
19,The Young Girls of Rochefort,98,40,musical|performing_arts
20,Once,97,156,musical|performing_arts
21,Anvil! The Story of Anvil,98,135,musical|performing_arts
22,The Lion King,93,123,musical|performing_arts
23,Waste Land,100,70,musical|performing_arts
24,West Side Story,94,65,musical|performing_arts
25,Amadeus,94,86,musical|performing_arts
26,Afghan Star,100,60,musical|performing_arts
27,Hairspray,98,42,musical|performing_arts
28,We Are the Best!,96,129,musical|performing_arts
29,Everyday Sunshine: The Story of Fishbone,100,45,musical|performing_arts
30,Bill Cunningham New York,99,72,musical|performing_arts
31,My Fair Lady,96,48,musical|performing_arts
32,Rivers and Tides: Andy Goldsworthy Working With Time,99,71,musical|performing_arts
33,Johnny Guitar,95,44,musical|performing_arts
34,What's Love Got To Do With It?,96,53,musical|performing_arts
35,Aladdin,94,69,musical|performing_arts
36,Beware Of Mr. Baker,98,52,musical|performing_arts
37,Sound City,98,45,musical|performing_arts
38,Nashville,92,53,musical|performing_arts
39,Keep On Keepin' On,98,41,musical|performing_arts
40,Wordplay,95,120,musical|performing_arts
41,49 Up,97,65,musical|performing_arts
42,The Full Monty,96,47,musical|performing_arts
43,Muscle Shoals,96,82,musical|performing_arts
44,Marley,95,106,musical|performing_arts
45,Hairspray,91,217,musical|performing_arts
46,Searching for Sugar Man,94,125,musical|performing_arts
47,Les Plages d'Agnès,96,71,musical|performing_arts
48,Festival Express,96,80,musical|performing_arts
49,"20,000 Days on Earth",95,84,musical|performing_arts
50,Exit Through The Gift Shop,95,110,musical|performing_arts
51,Funny Girl,93,44,musical|performing_arts
52,Love & Mercy,90,203,musical|performing_arts
53,Born Into Brothels,95,107,musical|performing_arts
54,Pina,95,102,musical|performing_arts
55,Crumb,95,43,musical|performing_arts
56,The Little Mermaid,92,65,musical|performing_arts
57,Marina Abramovic: The Artist Is Present,96,45,musical|performing_arts
58,Los Angeles Plays Itself,96,45,musical|performing_arts
59,Straight Outta Compton,88,227,musical|performing_arts
60,Lost in La Mancha,94,100,musical|performing_arts
61,Lagaan: Once Upon a Time in India,95,59,musical|performing_arts
62,Hedwig and the Angry Inch,93,108,musical|performing_arts
63,Crazy Heart,90,205,musical|performing_arts
64,My Kid Could Paint That,94,83,musical|performing_arts
65,End of the Century: The Story of the Ramones,95,62,musical|performing_arts
66,The Wrecking Crew,94,68,musical|performing_arts
67,Willy Wonka and the Chocolate Factory,91,46,musical|performing_arts
68,Dave Chappelle's Block Party,92,125,musical|performing_arts
69,The Filth and the Fury,95,40,musical|performing_arts
70,The Sapphires,91,135,musical|performing_arts
71,Sing Your Song,95,40,musical|performing_arts
72,Tangled,89,219,musical|performing_arts
73,A Band Called Death,94,49,musical|performing_arts
74,Florence Foster Jenkins,87,211,musical|performing_arts
75,My Architect,93,91,musical|performing_arts
76,Little Shop of Horrors,90,51,musical|performing_arts
77,Every Little Step,92,96,musical|performing_arts
78,U2 3D,92,88,musical|performing_arts
79,Sid and Nancy,88,64,musical|performing_arts
80,Scratch,93,46,musical|performing_arts
81,The Sound of Music,85,61,musical|performing_arts
82,F for Fake,88,50,musical|performing_arts
83,Ballets Russes,92,59,musical|performing_arts
84,Standing in the Shadows of Motown,91,92,musical|performing_arts
85,Shine,91,44,musical|performing_arts
86,Born To Be Blue,89,114,musical|performing_arts
87,Five Easy Pieces,87,46,musical|performing_arts
88,Neil Young: Heart of Gold,90,98,musical|performing_arts
89,Buena Vista Social Club,91,46,musical|performing_arts
90,Topsy-Turvy,89,84,musical|performing_arts
91,Chicago,85,252,musical|performing_arts
92,Sweeney Todd: The Demon Barber of Fleet Street,85,224,musical|performing_arts
93,The Devil and Daniel Johnston,89,110,musical|performing_arts
94,The Muppet Movie,88,48,musical|performing_arts
95,Caesar Must Die,91,47,musical|performing_arts
96,Metallica: Some Kind of Monster,89,123,musical|performing_arts
97,The Punk Singer,90,62,musical|performing_arts
98,Control,88,112,musical|performing_arts
99,Mamma Mia! Here We Go Again,80,239,musical|performing_arts
100,Beats Rhymes & Life: The Travels of a Tribe Called Quest,90,59,musical|performing_arts
1,Citizen Kane,100,80,mystery|suspense
2,Get Out,98,339,mystery|suspense
3,The Third Man,99,78,mystery|suspense
4,The Cabinet of Dr. Caligari,100,50,mystery|suspense
5,A Quiet Place,95,330,mystery|suspense
6,Spotlight,97,344,mystery|suspense
7,Arrival,94,389,mystery|suspense
8,Psycho,97,89,mystery|suspense
9,Laura,100,60,mystery|suspense
10,The Maltese Falcon,100,53,mystery|suspense
11,Argo,96,340,mystery|suspense
12,Repulsion,100,60,mystery|suspense
13,North by Northwest,99,72,mystery|suspense
14,Rear Window,100,64,mystery|suspense
15,Alien,97,110,mystery|suspense
16,M,100,51,mystery|suspense
17,Taxi Driver,98,82,mystery|suspense
18,Touch of Evil,96,74,mystery|suspense
19,Hell or High Water,97,259,mystery|suspense
20,The Babadook,98,227,mystery|suspense
21,Vertigo,96,71,mystery|suspense
22,Rebecca,100,51,mystery|suspense
23,The Night of the Hunter,98,65,mystery|suspense
24,Rosemary's Baby,99,69,mystery|suspense
25,Rashômon,98,52,mystery|suspense
26,Jaws,97,79,mystery|suspense
27,The Wages of Fear,100,43,mystery|suspense
28,L.A. Confidential,99,109,mystery|suspense
29,Harry Potter and the Deathly Hallows - Part 2,96,320,mystery|suspense
30,The Big Sleep,97,59,mystery|suspense
31,The Lady Vanishes,98,41,mystery|suspense
32,High Noon,96,50,mystery|suspense
33,Skyfall,92,362,mystery|suspense
34,"The Godfather, Part II",97,72,mystery|suspense
35,Chinatown,98,64,mystery|suspense
36,The Post,88,357,mystery|suspense
37,Anatomy of a Murder,100,42,mystery|suspense
38,Invasion of the Body Snatchers,98,56,mystery|suspense
39,Nightcrawler,95,251,mystery|suspense
40,Strangers on a Train,98,44,mystery|suspense
41,The 39 Steps,96,46,mystery|suspense
42,The Salesman,96,187,mystery|suspense
43,Badlands,98,52,mystery|suspense
44,The Manchurian Candidate,98,54,mystery|suspense
45,Eyes Without a Face,98,54,mystery|suspense
46,Freaks,94,53,mystery|suspense
47,The Conversation,98,48,mystery|suspense
48,The Silence of the Lambs,96,89,mystery|suspense
49,Forbidden Planet,98,42,mystery|suspense
50,101 Dalmatians,98,46,mystery|suspense
51,Goldfinger,97,60,mystery|suspense
52,Le Cercle Rouge,95,59,mystery|suspense
53,Sunrise: A Song of Two Humans,98,51,mystery|suspense
54,Casino Royale,94,252,mystery|suspense
55,Eye In The Sky,95,200,mystery|suspense
56,All Is Lost,94,228,mystery|suspense
57,The Guilty,99,88,mystery|suspense
58,Blood Simple,94,98,mystery|suspense
59,Peeping Tom,96,49,mystery|suspense
60,Assault on Precinct 13,98,42,mystery|suspense
61,No Country for Old Men,93,279,mystery|suspense
62,Looper,93,257,mystery|suspense
63,The Birds,96,52,mystery|suspense
64,Halloween,95,65,mystery|suspense
65,The Fugitive,96,74,mystery|suspense
66,Bridge of Spies,91,284,mystery|suspense
67,Mad Max 2: The Road Warrior,98,43,mystery|suspense
68,Searching,92,214,mystery|suspense
69,Mandy,92,213,mystery|suspense
70,Who Framed Roger Rabbit,97,63,mystery|suspense
71,Close Encounters of the Third Kind,96,57,mystery|suspense
72,Diva,98,48,mystery|suspense
73,Dr. No,96,54,mystery|suspense
74,Ex Machina,92,251,mystery|suspense
75,Sicario,92,250,mystery|suspense
76,Jurassic Park,91,123,mystery|suspense
77,Don't Look Now,96,53,mystery|suspense
78,10 Cloverfield Lane,90,289,mystery|suspense
79,In the Line of Fire,96,67,mystery|suspense
80,From Russia With Love,96,55,mystery|suspense
81,The Vanishing,98,46,mystery|suspense
82,Elevator to the Gallows,93,55,mystery|suspense
83,In the Heat of the Night,96,47,mystery|suspense
84,Wake in Fright,100,51,mystery|suspense
85,Three Colors: Blue,98,43,mystery|suspense
86,Blue Ruin,96,136,mystery|suspense
87,The Cabin in the Woods,91,272,mystery|suspense
88,The Killer,98,40,mystery|suspense
89,The Bourne Ultimatum,92,263,mystery|suspense
90,To Catch a Thief,95,44,mystery|suspense
91,Gone Girl,87,335,mystery|suspense
92,The Imitation Game,90,265,mystery|suspense
93,Blue Velvet,94,68,mystery|suspense
94,L'Avventura,95,43,mystery|suspense
95,Diabolique,95,42,mystery|suspense
96,A Girl Walks Home Alone at Night,96,122,mystery|suspense
97,Children of Men,92,244,mystery|suspense
98,Wild Tales,95,148,mystery|suspense
99,You Were Never Really Here,89,240,mystery|suspense
100,Drag Me to Hell,92,261,mystery|suspense
1,It Happened One Night,98,54,romance
2,Casablanca,97,77,romance
3,The Big Sick,98,274,romance
4,Call Me by Your Name,95,311,romance
5,Singin' in the Rain,100,50,romance
6,The Shape of Water,92,392,romance
7,The Adventures of Robin Hood,100,45,romance
8,The Philadelphia Story,100,56,romance
9,Vertigo,96,71,romance
10,On the Waterfront,98,62,romance
11,Roman Holiday,98,53,romance
12,Gone With the Wind,92,89,romance
13,An American in Paris,95,62,romance
14,Carol,94,285,romance
15,Before Midnight,98,189,romance
16,The Red Shoes,96,55,romance
17,The African Queen,98,42,romance
18,City Lights,98,45,romance
19,Beauty and The Beast,95,63,romance
20,Miracle on 34th Street,96,47,romance
21,Annie Hall,97,71,romance
22,The Artist,95,304,romance
23,Her,94,260,romance
24,Only Yesterday,100,53,romance
25,Gentlemen Prefer Blondes,98,40,romance
26,The Umbrellas of Cherbourg,98,55,romance
27,Beauty and the Beast,94,113,romance
28,Three Colors: Red,100,52,romance
29,The Princess Bride,97,71,romance
30,The Best Years of Our Lives,96,48,romance
31,Bringing Up Baby,95,42,romance
32,Sunrise: A Song of Two Humans,98,51,romance
33,The Hustler,98,43,romance
34,Before Sunrise,100,42,romance
35,Sideways,96,227,romance
36,The Apartment,94,62,romance
37,Groundhog Day,96,77,romance
38,Wings of Desire,98,51,romance
39,The Young Girls of Rochefort,98,40,romance
40,Bull Durham,97,66,romance
41,"Crouching Tiger, Hidden Dragon",97,153,romance
42,Sense and Sensibility,98,59,romance
43,Lost In Translation,95,228,romance
44,Enough Said,95,182,romance
45,Titanic,89,184,romance
46,Slumdog Millionaire,91,277,romance
47,West Side Story,94,65,romance
48,Elevator to the Gallows,93,55,romance
49,God's Own Country,97,110,romance
50,Your Name.,97,110,romance
51,Three Colors: Blue,98,43,romance
52,Say Anything...,98,43,romance
53,To Catch a Thief,95,44,romance
54,Daughters of the Dust,98,40,romance
55,Manhattan,95,62,romance
56,A Girl Walks Home Alone at Night,96,122,romance
57,Shakespeare in Love,92,137,romance
58,Giant,95,40,romance
59,Up in the Air,91,278,romance
60,Eternal Sunshine Of The Spotless Mind,93,238,romance
61,The Lunchbox,96,105,romance
62,Before Sunset,95,172,romance
63,Dave,95,58,romance
64,The Town,93,222,romance
65,Midnight in Paris,93,215,romance
66,From Here to Eternity,92,50,romance
67,Four Weddings and a Funeral,95,66,romance
68,A Summer's Tale,98,46,romance
69,The Crying Game,94,66,romance
70,Enchanted,93,189,romance
71,Big Night,96,56,romance
72,Howards End,94,63,romance
73,Million Dollar Baby,91,264,romance
74,About a Boy,93,186,romance
75,The General,94,47,romance
76,Knocked Up,90,248,romance
77,Monsoon Wedding,95,120,romance
78,Masculin Feminin,92,39,romance
79,Hamlet,95,56,romance
80,Revanche,96,81,romance
81,To All the Boys I've Loved Before,96,55,romance
82,Out of Sight,93,88,romance
83,The Graduate,89,75,romance
84,The Remains of the Day,95,40,romance
85,Strictly Ballroom,95,41,romance
86,The Spectacular Now,92,160,romance
87,Moonstruck,93,55,romance
88,The Little Mermaid,92,65,romance
89,The Duke Of Burgundy,94,95,romance
90,Brief Encounter,90,41,romance
91,The Piano,92,60,romance
92,Southside With You,91,151,romance
93,Y Tu Mama Tambien,92,137,romance
94,Lone Star,94,47,romance
95,Hannah and Her Sisters,91,56,romance
96,Crazy Heart,90,205,romance
97,Kung Fu Hustle,90,185,romance
98,Open Hearts,95,57,romance
99,Obvious Child,90,157,romance
100,Husbands and Wives,93,40,romance
1,Black Panther,97,444,science_fiction|fantasy
2,The Wizard of Oz,98,111,science_fiction|fantasy
3,Mad Max: Fury Road,97,394,science_fiction|fantasy
4,Wonder Woman,93,410,science_fiction|fantasy
5,E.T. The Extra-Terrestrial,98,125,science_fiction|fantasy
6,Metropolis,99,118,science_fiction|fantasy
7,Arrival,94,389,science_fiction|fantasy
8,Star Wars: The Last Jedi,91,419,science_fiction|fantasy
9,Logan,93,371,science_fiction|fantasy
10,The Shape of Water,92,392,science_fiction|fantasy
11,Gravity,96,335,science_fiction|fantasy
12,Star Wars: Episode VII - The Force Awakens,93,402,science_fiction|fantasy
13,"Nosferatu, a Symphony of Horror",97,62,science_fiction|fantasy
14,Snow White and the Seven Dwarfs,98,47,science_fiction|fantasy
15,Thor: Ragnarok,92,370,science_fiction|fantasy
16,The Bride of Frankenstein,100,43,science_fiction|fantasy
17,Alien,97,110,science_fiction|fantasy
18,Toy Story 2,100,163,science_fiction|fantasy
19,Spider-Man: Homecoming,92,350,science_fiction|fantasy
20,War for the Planet of the Apes,93,323,science_fiction|fantasy
21,Toy Story 3,98,299,science_fiction|fantasy
22,Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb,99,76,science_fiction|fantasy
23,Frankenstein,100,46,science_fiction|fantasy
24,The Dark Knight,94,332,science_fiction|fantasy
25,Captain America: Civil War,91,381,science_fiction|fantasy
26,Pinocchio,100,47,science_fiction|fantasy
27,Harry Potter and the Deathly Hallows - Part 2,96,320,science_fiction|fantasy
28,Aliens,99,68,science_fiction|fantasy
29,Toy Story,100,81,science_fiction|fantasy
30,Ant-Man and the Wasp,88,364,science_fiction|fantasy
31,Star Wars: Episode IV - A New Hope,93,114,science_fiction|fantasy
32,WALL-E,96,252,science_fiction|fantasy
33,Sorry to Bother You,93,263,science_fiction|fantasy
34,Invasion of the Body Snatchers,98,56,science_fiction|fantasy
35,Star Trek,94,342,science_fiction|fantasy
36,Kubo and the Two Strings,97,207,science_fiction|fantasy
37,The Terminator,100,59,science_fiction|fantasy
38,Marvel's The Avengers,92,340,science_fiction|fantasy
39,The Martian,91,346,science_fiction|fantasy
40,Mary Poppins,100,48,science_fiction|fantasy
41,Beauty and The Beast,95,63,science_fiction|fantasy
42,Miracle on 34th Street,96,47,science_fiction|fantasy
43,Star Wars: Episode V - The Empire Strikes Back,95,92,science_fiction|fantasy
44,Snowpiercer,95,237,science_fiction|fantasy
45,2001: A Space Odyssey,93,98,science_fiction|fantasy
46,The Discreet Charm Of The Bourgeoisie,98,50,science_fiction|fantasy
47,It's a Wonderful Life,93,74,science_fiction|fantasy
48,Blade Runner 2049,87,389,science_fiction|fantasy
49,Her,94,260,science_fiction|fantasy
50,How to Train Your Dragon,98,205,science_fiction|fantasy
51,Avengers: Infinity War,84,408,science_fiction|fantasy
52,8 1/2,98,47,science_fiction|fantasy
53,Yellow Submarine,97,59,science_fiction|fantasy
54,Guardians of the Galaxy,91,306,science_fiction|fantasy
55,Beauty and the Beast,94,113,science_fiction|fantasy
56,Iron Man,93,274,science_fiction|fantasy
57,The Princess Bride,97,71,science_fiction|fantasy
58,Forbidden Planet,98,42,science_fiction|fantasy
59,Ghostbusters,97,71,science_fiction|fantasy
60,The Nightmare Before Christmas,95,94,science_fiction|fantasy
61,Big,97,74,science_fiction|fantasy
62,Pan's Labyrinth,95,229,science_fiction|fantasy
63,Fantasia,96,50,science_fiction|fantasy
64,The Day the Earth Stood Still,94,54,science_fiction|fantasy
65,"Monsters, Inc.",96,193,science_fiction|fantasy
66,Doctor Strange,89,338,science_fiction|fantasy
67,X-Men: Days of Future Past,90,306,science_fiction|fantasy
68,The Lord of the Rings: The Two Towers,95,250,science_fiction|fantasy
69,Live Die Repeat: Edge of Tomorrow,90,305,science_fiction|fantasy
70,Looper,93,257,science_fiction|fantasy
71,Back to the Future,96,77,science_fiction|fantasy
72,Groundhog Day,96,77,science_fiction|fantasy
73,The Iron Giant,96,136,science_fiction|fantasy
74,Spirited Away,97,183,science_fiction|fantasy
75,Solaris,96,56,science_fiction|fantasy
76,Wings of Desire,98,51,science_fiction|fantasy
77,Gojira,93,70,science_fiction|fantasy
78,Dawn Of The Planet Of The Apes,90,297,science_fiction|fantasy
79,Song Of The Sea,99,88,science_fiction|fantasy
80,Mad Max 2: The Road Warrior,98,43,science_fiction|fantasy
81,Annihilation,89,271,science_fiction|fantasy
82,Close Encounters of the Third Kind,96,57,science_fiction|fantasy
83,Babe,97,70,science_fiction|fantasy
84,Ex Machina,92,251,science_fiction|fantasy
85,Jurassic Park,91,123,science_fiction|fantasy
86,Brazil,98,47,science_fiction|fantasy
87,10 Cloverfield Lane,90,289,science_fiction|fantasy
88,Blade Runner,90,110,science_fiction|fantasy
89,Repo Man,98,44,science_fiction|fantasy
90,Jodorowsky's Dune,97,115,science_fiction|fantasy
91,The Lord of the Rings: The Return of the King,93,270,science_fiction|fantasy
92,The Seventh Seal,93,55,science_fiction|fantasy
93,Spider-Man 2,93,269,science_fiction|fantasy
94,Captain America: The Winter Soldier,89,283,science_fiction|fantasy
95,Children of Men,92,244,science_fiction|fantasy
96,The Secret World of Arrietty,95,146,science_fiction|fantasy
97,Invasion of the Body Snatchers,94,54,science_fiction|fantasy
98,The Evil Dead,95,59,science_fiction|fantasy
99,District 9,90,307,science_fiction|fantasy
100,Eternal Sunshine Of The Spotless Mind,93,238,science_fiction|fantasy
1,The Bride of Frankenstein,100,43,special_interest
2,Frankenstein,100,46,special_interest
3,Man on Wire,100,157,special_interest
4,Life Itself,97,196,special_interest
5,Miracle on 34th Street,96,47,special_interest
6,The Discreet Charm Of The Bourgeoisie,98,50,special_interest
7,Her,94,260,special_interest
8,Amy,95,209,special_interest
9,Taxi to the Dark Side,100,92,special_interest
10,Blackfish,98,126,special_interest
11,Murderball,98,138,special_interest
12,Groundhog Day,96,77,special_interest
13,Inside Job,98,146,special_interest
14,Jiro Dreams of Sushi,99,92,special_interest
15,The Square,100,62,special_interest
16,Hoop Dreams,98,55,special_interest
17,"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.",100,43,special_interest
18,Afghan Star,100,60,special_interest
19,Capturing the Friedmans,97,152,special_interest
20,Waltz with Bashir,96,148,special_interest
21,The Overnighters,99,69,special_interest
22,Jodorowsky's Dune,97,115,special_interest
23,The Interrupters,99,89,special_interest
24,How to Survive a Plague,99,73,special_interest
25,56 Up,99,67,special_interest
26,Last Train Home,100,54,special_interest
27,The Invisible War,99,70,special_interest
28,Spellbound,97,139,special_interest
29,Enron: The Smartest Guys in the Room,97,119,special_interest
30,Love Is Strange,94,172,special_interest
31,The Act Of Killing,95,147,special_interest
32,This Is Not a Film,97,98,special_interest
33,Elaine Stritch: Shoot Me,98,65,special_interest
34,The King of Kong: A Fistful of Quarters,97,100,special_interest
35,The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,96,140,special_interest
36,Bowling for Columbine,95,169,special_interest
37,The Imposter,96,113,special_interest
38,The War Tapes,98,65,special_interest
39,Cave of Forgotten Dreams,96,133,special_interest
40,Ai Weiwei: Never Sorry,97,79,special_interest
41,Undefeated,96,100,special_interest
42,L'année dernière à Marienbad,94,47,special_interest
43,Sicko,92,216,special_interest
44,Mea Maxima Culpa: Silence In The House Of God,98,48,special_interest
45,Blindsight,98,50,special_interest
46,The Devil Came on Horseback,98,51,special_interest
47,Call Me Kuchu,98,44,special_interest
48,For the Bible Tells Me So,98,49,special_interest
49,Let The Fire Burn,98,42,special_interest
50,Restrepo,96,114,special_interest
51,The Life and Times of Hank Greenberg,97,65,special_interest
52,Surfwise,98,44,special_interest
53,Bus 174,97,78,special_interest
54,Wordplay,95,120,special_interest
55,Control Room,96,110,special_interest
56,Burma VJ: Reporter i et Lukket Land,97,62,special_interest
57,No End in Sight,96,95,special_interest
58,49 Up,97,65,special_interest
59,Winged Migration,95,133,special_interest
60,Muscle Shoals,96,82,special_interest
61,The Queen of Versailles,95,111,special_interest
62,Marley,95,106,special_interest
63,Finding Vivian Maier,95,96,special_interest
64,An Inconvenient Truth,93,162,special_interest
65,A Film Unfinished,97,64,special_interest
66,"Bigger, Stronger, Faster*",96,76,special_interest
67,Sweetgrass,97,60,special_interest
68,Trouble the Water,96,75,special_interest
69,To Be and to Have,97,59,special_interest
70,"Food, Inc.",95,111,special_interest
71,The Wild Parrots of Telegraph Hill,95,100,special_interest
72,Chasing Ice,96,69,special_interest
73,"20,000 Days on Earth",95,84,special_interest
74,Exit Through The Gift Shop,95,110,special_interest
75,Shaun of the Dead,92,205,special_interest
